26398,26424,1.0
26541,29032,1.0
9461,11291,1.0
9461,22358,1.0
27449,28340,1.0
27449,28343,1.0
19104,28338,1.0
19104,29035,1.0
3928,29967,1.0
28275,29412,1.0
28275,29514,1.0
28336,29138,1.0
28338,29035,1.0
28339,28461,1.0
28340,28343,1.0
28352,28355,1.0
28716,28959,1.0
29412,29514,1.0
4008,9145,1.0
4008,28275,1.0
4008,29412,1.0
4008,29514,1.0
9709,9710,1.0
19442,25096,1.0
4051,13335,1.0
24686,27665,1.0
24693,26405,1.0
9834,17995,1.0
9834,27397,1.0
4113,21927,1.0
25031,25038,0.9767441860465116
25084,25085,1.0
9910,9914,1.0
9910,9919,1.0
9911,9915,1.0
9911,9920,1.0
9914,9919,1.0
9915,9920,1.0
9916,9921,1.0
19926,21541,1.0
19939,19971,1.0
19939,20093,1.0
19941,19957,1.0
19941,20105,1.0
19941,20119,1.0
19943,19950,1.0
19943,20090,1.0
19950,20090,1.0
19957,20105,1.0
19957,20119,1.0
19971,20093,1.0
25694,28674,1.0
25784,25828,1.0
25848,25939,1.0
20105,20119,1.0
22691,22692,1.0
20447,20870,1.0
23065,27512,1.0
23105,24534,1.0
4511,19926,1.0
4511,21541,1.0
4526,14424,1.0
20860,24406,1.0
10505,10553,1.0
23573,23574,1.0
4610,4613,1.0
4630,21236,1.0
4630,28778,1.0
21103,24246,1.0
4670,4689,1.0
4671,4690,1.0
4671,4701,1.0
4672,4691,1.0
4673,4692,1.0
23892,23893,1.0
21196,21200,1.0
21196,21204,1.0
21196,21207,1.0
21196,21211,1.0
21196,21215,1.0
4690,4701,1.0
21200,21204,1.0
21200,21207,1.0
21200,21211,1.0
21200,21215,1.0
21204,21207,1.0
21204,21211,1.0
21204,21215,1.0
21207,21211,1.0
21207,21215,1.0
21211,21215,1.0
21236,28778,1.0
24106,28339,1.0
24106,28461,1.0
24243,24245,1.0
21571,21573,1.0
10826,10828,1.0
21658,21944,1.0
13248,13249,1.0
21744,22283,1.0
4882,23279,1.0
4893,4903,1.0
4894,4904,1.0
4895,4905,1.0
4896,4906,1.0
21861,22564,1.0
21926,25564,1.0
21949,21951,1.0
21949,29376,1.0
21951,29376,1.0
22020,22032,1.0
22021,22026,1.0
22024,22029,1.0
22052,22067,1.0
13437,13439,1.0
22081,22082,1.0
13441,14096,1.0
13447,13454,1.0
4996,9461,1.0
4996,11291,1.0
4996,22358,1.0
22107,29059,1.0
22244,28724,1.0
5054,5055,1.0
5062,6881,1.0
5062,24693,1.0
5062,26405,1.0
13649,28492,1.0
11204,11206,1.0
13666,29875,1.0
11219,11225,1.0
11239,11245,1.0
11247,15947,1.0
13727,14033,1.0
7513,12771,1.0
17036,28463,1.0
7553,26003,1.0
17067,24953,1.0
13975,13976,1.0
5372,6191,1.0
14022,14026,1.0
5404,27956,1.0
17528,17723,1.0
17528,22862,1.0
14136,26100,1.0
